"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/1996","2.54","2.44","2.63","2.33","3.60M","3.33%"
"09/01/1996","2.47","2.54","2.55","2.45","760.32K","-2.64%"
"10/01/1996","2.37","2.47","2.47","2.14","2.13M","-4.12%"
"11/01/1996","2.52","2.34","2.52","2.23","1.35M","6.20%"
"12/01/1996","2.67","2.52","2.71","2.46","1.42M","5.95%"
"01/01/1997","2.86","2.67","2.96","2.63","1.91M","7.04%"
"02/01/1997","3.00","2.92","3.04","2.86","1.34M","5.01%"
"03/01/1997","3.12","3.01","3.34","3.01","1.87M","4.00%"
"04/01/1997","3.30","3.12","3.31","3.06","905.00K","5.80%"
"05/01/1997","2.95","3.30","3.30","2.83","581.44K","-10.72%"
"06/01/1997","3.46","2.85","3.50","2.80","1.12M","17.37%"
"07/01/1997","3.88","3.50","3.95","3.44","2.18M","12.17%"
"08/01/1997","3.76","3.95","4.12","3.76","824.22K","-3.09%"
"09/01/1997","3.94","3.72","4.05","3.62","1.18M","4.79%"
"10/01/1997","3.59","3.91","4.14","3.20","1.13M","-8.78%"
"11/01/1997","3.87","3.77","3.87","3.53","523.06K","7.74%"
"12/01/1997","4.17","3.95","4.17","3.90","607.36K","7.77%"
"01/01/1998","4.53","4.14","4.57","4.03","850.64K","8.46%"
"02/01/1998","4.41","4.68","4.68","4.31","992.32K","-2.47%"
"03/01/1998","4.50","4.47","4.60","4.38","1.41M","1.86%"
"04/01/1998","5.93","4.51","5.95","4.49","1.35M","31.78%"
"05/01/1998","7.37","5.93","7.56","5.74","811.04K","24.37%"
"06/01/1998","6.88","7.44","7.44","6.62","1.29M","-6.64%"
"07/01/1998","6.73","6.88","6.88","5.94","997.92K","-2.18%"
"08/01/1998","6.26","6.90","6.90","5.80","414.00K","-7.04%"
"09/01/1998","5.38","5.79","6.32","5.30","1.15M","-14.07%"
"10/01/1998","6.28","5.26","6.39","4.51","1.08M","16.78%"
"11/01/1998","6.18","6.39","6.87","5.94","630.26K","-1.55%"
"12/01/1998","7.03","6.20","7.11","5.29","933.10K","13.74%"
"01/01/1999","5.91","7.32","7.35","5.50","951.44K","-15.95%"
"02/01/1999","5.67","5.86","5.97","4.95","1.82M","-4.01%"
"03/01/1999","5.34","5.77","5.87","5.11","896.04K","-5.91%"
"04/01/1999","6.66","5.34","6.66","5.31","1.23M","24.75%"
"05/01/1999","6.41","6.31","6.68","5.68","411.70K","-3.69%"
"06/01/1999","5.87","6.07","6.36","5.72","691.56K","-8.47%"
"07/01/1999","5.08","5.82","5.92","4.98","1.63M","-13.44%"
"08/01/1999","5.40","5.23","5.42","4.52","795.80K","6.32%"
"09/01/1999","6.46","5.42","6.60","5.23","1.35M","19.63%"
"10/01/1999","6.87","6.51","7.43","6.41","4.24M","6.35%"
"11/01/1999","8.58","6.76","8.86","6.46","3.24M","24.90%"
"12/01/1999","9.81","8.38","10.71","8.19","3.78M","14.37%"
"01/01/2000","11.82","10.06","13.05","8.94","7.05M","20.48%"
"02/01/2000","22.15","12.33","24.41","11.96","13.94M","87.28%"
"03/01/2000","15.36","22.93","22.93","13.93","13.35M","-30.62%"
"04/01/2000","12.56","16.03","16.31","11.10","7.69M","-18.22%"
"05/01/2000","11.25","12.59","14.18","9.40","5.21M","-10.48%"
"06/01/2000","9.89","11.10","11.84","9.40","3.56M","-12.08%"
"07/01/2000","9.13","10.11","10.11","8.56","2.56M","-7.73%"
"08/01/2000","14.43","9.17","15.88","9.00","6.67M","58.10%"
"09/01/2000","13.19","14.55","15.29","11.10","3.90M","-8.55%"
"10/01/2000","12.53","12.47","14.30","9.89","3.26M","-5.05%"
"11/01/2000","9.19","12.63","13.02","9.00","5.67M","-26.68%"
"12/01/2000","10.23","9.23","11.07","8.04","5.05M","11.41%"
"01/01/2001","10.48","10.36","11.07","8.73","3.63M","2.41%"
"02/01/2001","9.15","10.46","12.08","8.63","3.72M","-12.71%"
"03/01/2001","8.75","8.89","9.72","7.08","3.30M","-4.34%"
"04/01/2001","11.30","8.87","11.57","7.99","2.30M","29.06%"
"05/01/2001","11.03","11.34","11.86","10.24","2.77M","-2.32%"
"06/01/2001","9.89","11.00","11.34","8.93","3.61M","-10.34%"
"07/01/2001","10.36","9.99","10.56","8.90","3.68M","4.71%"
"08/01/2001","9.99","10.36","11.65","9.68","6.16M","-3.57%"
"09/01/2001","6.53","9.81","10.23","5.47","5.33M","-34.57%"
"10/01/2001","9.32","6.41","9.47","6.10","5.85M","42.60%"
"11/01/2001","9.59","9.20","10.72","8.78","10.79M","2.94%"
"12/01/2001","9.25","9.42","10.31","8.79","4.79M","-3.60%"
"01/01/2002","9.24","9.32","9.54","8.83","5.26M","-0.05%"
"02/01/2002","8.14","9.79","9.86","7.26","10.74M","-11.95%"
"03/01/2002","8.38","8.09","8.86","7.95","5.81M","2.97%"
"04/01/2002","7.33","8.38","8.40","7.30","7.05M","-12.57%"
"05/01/2002","7.27","7.35","8.02","6.78","6.37M","-0.74%"
"06/01/2002","4.44","7.27","7.27","4.02","9.88M","-38.97%"
"07/01/2002","3.38","4.56","4.62","2.79","8.92M","-23.95%"
"08/01/2002","3.95","3.40","4.55","2.87","6.47M","16.88%"
"09/01/2002","2.06","3.88","3.92","1.92","6.71M","-47.82%"
"10/01/2002","3.04","2.10","3.35","1.76","11.80M","47.45%"
"11/01/2002","4.32","3.16","4.62","2.88","9.71M","42.23%"
"12/01/2002","2.61","4.39","4.60","2.51","7.66M","-39.46%"
"01/01/2003","2.88","2.67","2.98","2.35","11.85M","10.10%"
"02/01/2003","2.58","2.93","3.23","2.38","6.38M","-10.22%"
"03/01/2003","2.47","2.65","2.91","2.45","5.39M","-4.45%"
"04/01/2003","3.83","2.52","3.85","2.49","7.68M","55.00%"
"05/01/2003","3.97","3.97","4.44","3.51","13.70M","3.74%"
"06/01/2003","4.13","4.01","4.41","3.98","8.66M","4.06%"
"07/01/2003","4.56","4.13","4.66","3.95","7.63M","10.43%"
"08/01/2003","4.62","4.55","4.63","4.04","5.54M","1.29%"
"09/01/2003","4.61","4.69","4.90","4.38","8.55M","-0.19%"
"10/01/2003","6.86","4.61","6.99","4.44","18.60M","48.70%"
"11/01/2003","6.38","6.91","7.27","5.99","15.20M","-7.04%"
"12/01/2003","5.51","6.33","6.60","4.97","16.10M","-13.51%"
"01/01/2004","4.85","5.57","5.80","4.60","12.08M","-12.08%"
"02/01/2004","4.41","4.91","4.92","3.78","30.68M","-8.95%"
"03/01/2004","5.06","4.44","5.28","4.43","21.34M","14.70%"
"04/01/2004","5.45","5.07","5.66","5.04","8.93M","7.70%"
"05/01/2004","5.32","5.45","5.45","4.91","6.66M","-2.40%"
"06/01/2004","4.88","5.30","5.33","4.44","6.77M","-8.31%"
"07/01/2004","4.38","4.89","4.97","4.23","4.08M","-10.25%"
"08/01/2004","4.27","4.37","4.55","3.79","2.87M","-2.60%"
"09/01/2004","3.81","4.31","4.46","3.71","4.79M","-10.81%"
"10/01/2004","3.92","3.82","4.17","3.53","6.09M","3.05%"
"11/01/2004","3.96","3.97","4.13","3.74","4.90M","1.07%"
"12/01/2004","6.56","3.96","7.19","3.96","20.62M","65.46%"
"01/01/2005","7.64","6.53","7.80","6.07","20.29M","16.59%"
"02/01/2005","7.43","7.59","8.35","7.43","13.88M","-2.88%"
"03/01/2005","7.42","7.88","8.11","7.02","8.06M","-0.09%"
"04/01/2005","7.67","7.41","8.07","7.35","5.40M","3.42%"
"05/01/2005","8.98","7.69","9.41","7.43","12.60M","17.01%"
"06/01/2005","10.18","9.00","10.51","9.00","15.15M","13.43%"
"07/01/2005","11.28","10.07","11.52","10.07","8.48M","10.82%"
"08/01/2005","10.26","11.36","11.71","10.13","5.53M","-9.07%"
"09/01/2005","10.70","10.31","10.79","10.06","4.30M","4.28%"
"10/01/2005","9.49","10.73","10.96","9.35","4.43M","-11.31%"
"11/01/2005","9.55","9.67","10.11","9.38","3.86M","0.67%"
"12/01/2005","9.90","9.58","10.47","9.27","12.51M","3.66%"
"01/01/2006","8.63","9.90","10.05","8.26","13.45M","-12.90%"
"02/01/2006","8.05","8.66","8.88","7.51","11.60M","-6.65%"
"03/01/2006","9.38","8.00","9.53","8.00","13.73M","16.54%"
"04/01/2006","9.69","9.37","9.97","9.13","8.44M","3.23%"
"05/01/2006","9.87","9.71","10.22","8.89","11.08M","1.88%"
"06/01/2006","9.32","9.81","10.07","8.90","9.17M","-5.54%"
"07/01/2006","9.37","9.37","9.49","8.27","10.32M","0.53%"
"08/01/2006","10.27","9.37","10.38","9.27","8.39M","9.58%"
"09/01/2006","11.26","10.23","11.91","9.43","12.10M","9.65%"
"10/01/2006","11.93","11.15","12.22","10.93","13.33M","5.91%"
"11/01/2006","11.71","11.89","12.90","11.51","13.49M","-1.78%"
"12/01/2006","12.61","11.79","13.56","10.85","12.28M","7.67%"
"01/01/2007","15.22","12.55","15.39","12.55","12.13M","20.65%"
"02/01/2007","16.42","15.33","17.09","14.85","8.62M","7.94%"
"03/01/2007","18.03","16.42","18.59","15.17","12.16M","9.76%"
"04/01/2007","18.00","18.01","19.04","16.87","6.40M","-0.13%"
"05/01/2007","18.38","17.73","18.64","16.30","8.73M","2.11%"
"06/01/2007","19.31","18.34","19.43","17.71","6.05M","5.05%"
"07/01/2007","23.65","19.14","25.05","19.14","12.54M","22.48%"
"08/01/2007","22.48","23.60","23.81","19.01","15.43M","-4.96%"
"09/01/2007","23.63","22.35","24.53","20.39","7.89M","5.11%"
"10/01/2007","27.96","23.58","28.50","22.55","14.81M","18.35%"
"11/01/2007","29.35","27.97","30.08","25.16","13.37M","4.97%"
"12/01/2007","34.26","31.57","34.27","29.11","7.55M","16.73%"
"01/01/2008","29.76","34.25","34.77","21.45","23.51M","-13.16%"
"02/01/2008","27.57","30.20","33.00","27.15","15.11M","-7.34%"
"03/01/2008","26.92","27.36","27.77","23.24","13.11M","-2.38%"
"04/01/2008","31.86","28.36","32.55","27.92","14.36M","18.38%"
"05/01/2008","30.73","32.44","35.26","29.83","13.98M","-3.56%"
"06/01/2008","27.49","30.52","31.39","26.19","12.35M","-10.55%"
"07/01/2008","31.31","27.49","34.03","26.96","17.33M","13.92%"
"08/01/2008","31.53","31.08","33.93","29.43","8.24M","0.70%"
"09/01/2008","24.07","31.32","31.64","21.71","11.33M","-23.67%"
"10/01/2008","20.31","24.66","25.45","16.77","19.99M","-15.63%"
"11/01/2008","17.84","21.32","23.26","16.53","12.69M","-12.12%"
"12/01/2008","13.76","17.65","18.81","10.88","16.22M","-22.89%"
"01/01/2009","10.92","13.62","14.69","9.53","27.66M","-20.65%"
"02/01/2009","11.76","10.73","12.82","10.41","16.43M","7.72%"
"03/01/2009","13.57","11.58","14.23","10.85","15.11M","15.39%"
"04/01/2009","14.70","13.51","17.03","13.50","15.97M","8.29%"
"05/01/2009","14.15","15.08","15.60","13.05","12.93M","-3.69%"
"06/01/2009","17.11","14.55","17.49","14.30","11.02M","20.88%"
"07/01/2009","11.82","17.05","17.45","10.56","20.63M","-30.91%"
"08/01/2009","12.25","11.98","12.85","11.51","11.44M","3.64%"
"09/01/2009","12.76","12.36","13.71","11.69","13.98M","4.18%"
"10/01/2009","10.60","12.86","13.51","10.60","19.88M","-16.92%"
"11/01/2009","10.01","10.56","11.39","9.58","23.35M","-5.63%"
"12/01/2009","9.79","10.27","10.79","9.33","22.93M","-2.21%"
"01/01/2010","9.76","9.87","11.14","8.98","34.09M","-0.32%"
"02/01/2010","8.85","9.74","10.55","8.73","19.40M","-9.26%"
"03/01/2010","10.04","8.90","10.40","8.42","22.27M","13.44%"
"04/01/2010","9.50","10.08","11.10","9.37","18.31M","-5.44%"
"05/01/2010","7.62","9.48","9.73","7.24","20.18M","-19.77%"
"06/01/2010","6.11","7.58","8.10","6.11","23.72M","-19.85%"
"07/01/2010","7.17","6.25","7.39","5.99","28.12M","17.36%"
"08/01/2010","6.73","7.20","7.77","6.56","12.26M","-6.08%"
"09/01/2010","8.06","6.78","8.37","6.66","15.84M","19.67%"
"10/01/2010","9.22","8.04","9.32","7.91","12.99M","14.49%"
"11/01/2010","7.27","9.26","9.96","7.08","30.33M","-21.17%"
"12/01/2010","7.89","7.35","8.09","7.28","13.23M","8.55%"
"01/01/2011","8.45","7.94","8.62","7.79","11.11M","7.14%"
"02/01/2011","7.92","8.50","9.30","7.67","15.54M","-6.38%"
"03/01/2011","7.11","7.95","7.96","6.77","10.58M","-10.16%"
"04/01/2011","6.69","7.15","7.69","6.57","10.97M","-5.98%"
"05/01/2011","6.81","6.75","7.05","6.23","19.28M","1.83%"
"06/01/2011","6.82","6.81","7.29","6.29","13.69M","0.16%"
"07/01/2011","5.75","6.82","7.19","5.36","12.43M","-15.72%"
"08/01/2011","4.89","5.92","5.96","4.36","15.57M","-14.97%"
"09/01/2011","4.03","4.89","4.90","3.52","17.04M","-17.60%"
"10/01/2011","4.30","3.92","4.62","3.58","10.18M","6.91%"
"11/01/2011","5.30","4.19","5.34","3.98","12.79M","23.14%"
"12/01/2011","5.10","5.27","5.52","4.59","7.82M","-3.78%"
"01/01/2012","5.90","5.10","6.00","5.01","8.08M","15.64%"
"02/01/2012","6.31","5.90","6.47","5.87","5.36M","6.92%"
